datetime,txn
2018-03-01 09:51:04,226, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,270, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,295, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,331, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,352, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,593, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,593, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,637, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,724, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,732, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,786, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,786, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,838, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,843, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,883, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,896, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,933, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,944, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:04,954, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,019, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,026, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,071, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,101, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,116, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,151, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,161, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,224, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,227, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,279, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,293, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,363, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,496, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,498, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,501, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,511, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,748, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,748, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,797, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,811, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,864, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,864, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,927, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,929, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,949, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:05,974, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,012, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,048, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,225, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,240, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,255, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,258, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,281, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,316, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,325, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,346, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,382, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,386, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,415, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,450, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,496, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,499, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,599, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,602, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,624, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,624, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,715, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,715, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,792, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,854, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,883, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,952, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:06,979, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,008, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,009, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,055, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,055, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,065, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,086, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,086, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,128, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,136, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,137, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,197, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,198, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,244, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,256, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,336, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,454, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,454, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,470, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,509, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,517, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,559, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,723, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,724, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,724, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,724, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,776, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,776, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,790, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,820, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,831, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,838, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,849, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,866, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,896, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,929, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:07,952, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,024, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,024, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,029, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,098, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,126, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,143, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,187, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,498, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,499, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,500, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,501, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,550, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,559, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,579, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,604, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,612, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,630, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,630, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,653, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,659, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,679, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,717, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,723, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,763, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,772, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,818, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,827, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,843, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,886, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,928, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,932, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,942, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:08,979, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,032, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,044, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,052, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,082, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,091, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,128, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,167, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,173, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,179, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,221, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,229, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,282, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,308, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,354, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,358, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,373, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,410, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,433, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,464, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,543, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,550, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,558, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,608, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,612, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,659, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,688, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,730, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,741, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,778, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,792, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,842, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,847, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,867, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,898, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:09,898, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,014, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,020, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,097, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,143, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,233, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,258, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,377, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,439, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,498, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,555, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,647, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,707, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,777, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,792, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,830, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,830, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,848, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,878, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,896, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,926, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,943, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,977, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,987, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:10,997, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,023, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,034, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,071, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,083, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,132, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,142, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,200, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,200, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,247, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,296, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,296, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,368, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,376, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,419, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,433, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,468, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,486, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,521, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,546, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:11,594, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,010, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,082, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,082, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,140, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,150, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,196, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,219, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,272, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,276, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,327, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,331, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,383, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,402, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,450, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,453, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,495, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,506, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,543, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,557, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,585, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,601, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,632, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,672, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,685, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,731, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,735, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,798, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,852, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,874, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,897, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,918, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,955, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:12,967, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,018, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,068, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,074, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,135, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,153, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,156, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,213, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,220, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,256, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,276, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,299, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,318, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,341, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,360, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,384, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,405, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,406, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,427, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,450, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,469, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,492, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,514, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,535, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,539, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,557, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,584, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,614, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,640, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,657, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,697, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,706, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,746, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,797, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,834, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,874, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,877, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,950, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:13,953, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,011, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,080, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,152, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,166, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,208, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,258, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,263, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,312, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,322, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,370, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,423, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,424, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,478, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,494, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,502, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,508, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,536, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,547, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,589, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,595, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,635, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,660, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,672, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,688, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,706, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,735, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,752, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,777, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,799, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,824, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,872, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,918, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,943, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:14,963, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,001, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,001, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,007, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,011, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,057, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,066, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,119, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,122, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,164, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,180, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,205, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,208, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,235, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,251, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,278, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,294, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,344, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,344, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,386, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,441, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,446, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,490, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,498, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,542, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,560, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,608, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,635, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,646, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,656, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,668, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,688, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,735, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,746, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,770, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,787, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,794, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,814, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,834, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,855, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,889, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,896, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:15,972, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:16,051, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:16,082, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:16,085, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:16,095, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:16,121, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:16,146, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:16,159, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:16,182, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:16,202, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:16,203, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:16,211, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:16,262, Workqueue DWM: Sending message: Workflow
2018-03-01 09:51:16,293, Workqueue DWM: Sending message: Workflow
